Console,GameName,Review,Score
PC,Legends Of Runeterra Review - Much Ado About Nautilus,Superb,9
PS4,Predator: Hunting Grounds Review - Muddied Up,Poor,4
PS4,Sakura Wars Review,Good,7
PC,XCOM: Chimera Squad Review,Great,8
PC,Cloudpunk Review - Time To Fly,Good,7
PS4,Streets Of Rage 4 Review - The Beat-'Em-Up Boys Are Back In Town,Great,8
"XONE, PC, PS4",Rainbow Six Siege Review (2015),Great,8
PC,"Gears Tactics Review - Plan The Work, Work The Plan",Great,8
PC,Fallout 76: Wastelanders Review - A Disappointing Return,Mediocre,5
NS,Trials Of Mana Review - Trial And Error,Fair,6
NS,Treachery In Beatdown City Review,Great,8
PC,In Other Waters Review,Superb,9
XONE,Bleeding Edge Review - Underwatch,Fair,6
PS4,Final Fantasy 7 Remake Review - First Class,Essential,1
NS,Animal Crossing: New Horizons Review - Island Getaway,Superb,9
PS4,Persona 5 Royal Review - Hearts Of Gold,Essential,1
PS4,"Resident Evil 3 Remake Review - Farewell, Raccoon City",Fair,6
NS,Good Job Review - Office Space,Good,7
PC,Corruption 2029 Review,Fair,6
PS4,MLB The Show 20 Review,Great,8
"PC, PS4, XONE",Call Of Duty Warzone Review,Good,7
PC,Half-Life: Alyx Review - Catch These Hands,Superb,9
"PC, NS, XONE, PS4",Doom Eternal Review - Intelligent Inferno,Great,8
PS4,Nioh 2 Review,Great,8
XONE,Ori And The Will Of The Wisps Review,Great,8
PC,Mindseize Review - Familiar Territory,Fair,6
"LNX, MAC, AND, PC",Dota Underlords Review,Superb,9
NS,Pokemon Mystery Dungeon: Rescue Team DX Review,Great,8
PC,Wolcen: Lords Of Mayhem Review,Poor,4
PS4,Bloodroots Review,Great,8
NS,Snack World Review,Poor,4
PS4,Dreams Review,Superb,9
PS4,Granblue Fantasy Versus Review - Fighting Fantasy,Good,7
PC,The Pedestrian Review - Walk Before You Run,Good,7
PC,Through The Darkest Of Times Review - Enemy Inside The Gates,Great,8
NS,Kunai Review - Throwing Knives,Good,7
NS,Kentucky Route Zero Review - Where The Streets Have No Name,Superb,9
PS4,Kingdom Hearts 3 Re:Mind Review - Don't Remind Me,Poor,4
PC,Lenna's Inception Review - Press Start,Good,7
"PC, PS4",Journey To The Savage Planet Review - A Pulpy Sci-Fi Romp,Good,7
PC,Frostpunk: The Last Autumn Review - Calm Before The Storm,Great,8
"XONE, PS4",Dragon Ball Z: Kakarot Review - Mondo Cool,Good,7
PC,Unity Of Command 2 Review - Lifetime Supply,Great,8
"PC, NS, IOS",Overland Review - Road Trip From Hell,Great,8
"PS4, PC, XONE",Ace Combat 7: Skies Unknown Review - Head In The Clouds,Great,8
"PS4, XONE, PC",The Outer Worlds Review - Over The Moon,Superb,9
"PC, PS4, XONE",Draugen Review - Mystery Loves Company,Good,7
PS4,Wattam Review - Forever Wondering,Good,7
PC,Supermash Review - Flop Jam,Bad,3
NS,The Touryst Review - Life's A Beach,Great,8
PC,Phoenix Point Review - The Life Aquatic,Great,8
PC,Darksiders: Genesis Review - Lucy And The Horsemen,Good,7
PC,Shovel Knight: King Of Cards Review - Royal Refinement,Great,8
"PS4, PC, XONE",Life Is Strange 2: Episode 5 Review - Beyond Good Or Evil,Great,8
PS4,Audica Review - Electronic Gun Music,Fair,6
PS4,Shenmue 3 Review - From A Forgotten Time,Mediocre,5
PC,Blacksad: Under The Skin Review - Dog Days,Mediocre,5
PC,Planet Zoo Review - Spreadsheet Safari,Good,7
NS,Sparklite Review - Shine A Light,Fair,6
"PS4, PS4",Star Wars Jedi: Fallen Order Review - A Good Feeling About This,Great,8
NS,Pokemon Sword & Shield Review - Curry Favor,Superb,9
NS,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England,Good,7
PS4,Need For Speed Heat Review - Getting Warmer,Good,7
NS,Mario & Sonic At The Olympic Games Tokyo 2020 Review - Gotta Go Fast,Good,7
"PC, PS4",Call Of Duty: Modern Warfare Review - Stay Frosty (Again),Good,7
"PS4, XONE",Red Dead Redemption 2 Review - Wild Wild West,Superb,9
"AND, IOS",Call Of Duty Mobile Review - Boots On The Go,Great,8
PC,Disco Elysium Review - Pure Dynamite,Essential,1
PC,"Afterparty Review - Drink, Die, Repeat",Good,7
NS,Luigi's Mansion 3 Review - Mario Is Missing,Great,8
PS4,WWE 2K20 Review: Botchamania,Terrible,2
PS4,"Super Monkey Ball Banana Blitz HD Review - All Monkey, No Magic",Mediocre,5
"PC, IOS",Manifold Garden Review - Stairways To Puzzle Heaven,Superb,9
PS4,MediEvil Review - Bones 'n Brawn,Mediocre,5
NS,Felix The Reaper Review - Footloose,Mediocre,5
NS,Little Town Hero Review - Brat Country,Mediocre,5
NS,The Witcher 3 Nintendo Switch Review - The Last Wish,Superb,9
NS,Killer Queen Black Review - 'Cause I'm Having a Good Time,Great,8
"PC, XONE, PS4",Ghost Recon Breakpoint Review - Faulty Reconaissance,Poor,4
PC,John Wick Hex Review - Tick Tock Wick,Great,8
PS4,Concrete Genie Review - Rubs Me The Right Way,Good,7
PC,Indivisible Review - Moving Mountains,Good,7
"PC, NS, IOS",Neo Cab Review - Taxi Cab Confessions,Good,7
"PC, PS4, PS4",Destiny 2 Shadowkeep Review - Moon's Haunted,Great,8
NS,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia,Fair,6
NS,Sayonara Wild Hearts Review - Falling Star,Fair,6
"PC, PS4",Code Vein Review - There Will Be Blood,Fair,6
"PC, NS",Untitled Goose Game Review - Saved By The Bell,Great,8
PC,The Surge 2 Review - Out On A Limb,Great,8
"IOS, PC, NS",80 Days Review - A Man And His Fogg,Great,8
PS4,FIFA 20 Review - Premier League,Great,8
"NS, PS4",Dragon Quest XI Review - Nintendo Switch Definitive Edition Update,Superb,9
PC,Blasphemous Review - Darker Souls,Good,7
PC,Greedfall Review - Lost In Another World,Mediocre,5
XONE,NHL 20 Review - Smashed,Superb,9
NS,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake,Great,8
PS4,No Man's Sky Beyond Review - Reach For The Stars,Superb,9
PC,Children of Morta Review,Great,8
PS4,AI: The Somnium Files Review - Eyes Love You,Great,8
PC,"Borderlands 3 Review - Six Sirens, One God-Queen",Great,8
PS4,eFootball PES 2020 Review - A Winning Formula,Superb,9
NS,Daemon X Machina Review - Tinker Toys,Good,7
"XONE, PC",Gears 5 Review - A Beneficial Mutation,Good,7
"PC, PS4, NS",Divinity: Original Sin 2 Review - Switch Definitive Edition Update,Essential,1
PC,Creature In The Well Review - Well-Placed Shot,Great,8
PS4,Monster Hunter World: Iceborne Review - A Very Ice Time,Superb,9
"PS4, PC",Knights And Bikes Review - Double Trouble,Great,8
PS4,Erica Review - Movie Night,Great,8
"PS4, XONE, PC",Apex Legends Review -- A New Battle Royale Titan,Superb,9
PS4,The Dark Pictures: Man of Medan Review - Drown And Out,Fair,6
PC,Blair Witch (Game) Review - Prying Eyes,Mediocre,5
PS4,Catherine: Full Body Review - One Step Closer To The Edge,Great,8
NS,Astral Chain Review - Anime Police Academy,Great,8
PC,Telling Lies Review - Watch Carefully,Good,7
PC,Ancestors: The Humankind Odyssey Review - Devolution Of The Species,Poor,4
"XONE, PS4",Control Review - An Action-Packed Paranormal Portal,Great,8
"XONE, PC, PS4",Life Is Strange 2: Episode 4 Review - Gotta Have Faith,Good,7
PC,Remnant: From the Ashes Review - In My Sights,Good,7
PC,Wolfenstein: Youngblood Review - Family Matters,Great,8
PS4,Kill La Kill The Game: IF Review - Don't Lose Your Way,Good,7
"PC, NS",Etherborn Review,Fair,6
PC,Warframe Review (2019) - Space Oddity,Great,8
NS,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered,Great,8
PC,Night Call Review - The Full Fare,Great,8
"PC, PS4",Final Fantasy XIV: Shadowbringers Review - Dancer In The Dark,Superb,9
NS,Dragon Quest Builders 2 Review - Building On A Strong Foundation,Great,8
PS4,SolSeraph Review - Play God,Fair,6
PC,198X Review,Mediocre,5
PC,Weedcraft Inc Review - I Got 5 On It,Mediocre,5
PC,They Are Billions Review - Everyone's Invited,Great,8
PS4,Sea Of Solitude Review - Adrift,Good,7
NS,Super Mario Maker 2 Review - Make My Day,Great,8
NS,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively,Fair,6
"PC, PS4",Bloodstained: Ritual Of The Night Review - Not Dead Yet,Great,8
PS4,Samurai Shodown Review - Life Or Death,Great,8
PC,F1 2019 Review - Pole Position,Superb,9
PS4,Judgment Review - Like A Tiger,Good,7
PS4,The Sinking City Review - Draining,Bad,3
PC,Imperator: Rome Review,Mediocre,5
PC,Mordhau Review - Medieval Times,Great,8
NS,Cadence Of Hyrule Review - Groove is in the Heart,Great,8
"PC, NS",My Friend Pedro Review - Vote For Pedro,Good,7
PS4,Crash Team Racing Nitro-Fueled Review - Back With A Bang,Great,8
PC,Outer Wilds Review - Extraterrestrial Investigation,Superb,9
"NS, PC",Octopath Traveler Review: Divide And Conquer,Great,8
3DS,Persona Q2 Review - You Oughta Be In Pictures,Good,7
"PC, PS4",Observation Review - Space Madness,Great,8
"PS4, PC",Dauntless Review - Whole New World,Good,7
PC,Void Bastards Review - Genres Collide,Great,8
PS4,Trover Saves The Universe Review - Couch Potatoes,Good,7
PS4,Blood and Truth Review - On The Move,Good,7
"PC, XONE",Pathologic 2 Review - The Big Sick,Mediocre,5
PC,Anno 1800 Review - The Prettiest Spreadsheet,Good,7
"PC, XONE, PS4, NS",Mortal Kombat 11 Review - The Right Fight,Superb,9
PC,Total War: Three Kingdoms Review - The New Romantics,Great,8
NS,Travis Strikes Again: No More Heroes Review - Short On Heroics,Fair,6
"PS4, XONE, PC",A Plague Tale: Innocence Review - Of Rats And Children,Great,8
XONE,Layers of Fear 2 Review - Ghost Ship,Mediocre,5
PS4,Everybody's Golf VR Review - A Short Date To The Golf Course,Fair,6
"XONE, PS4",Team Sonic Racing Review - Gotta Go-Kart Fast,Good,7
"PC, PS4",Metro Exodus Review - Brand New Days,Great,8
PC,Whispers of a Machine Review - Hushed Greatness,Good,7
PS4,"Darkwood Review - Welcome To The Forest, Meat",Superb,9
PC,Rage 2 Review - Wasted Land,Fair,6
"PS4, PC, XONE",Life Is Strange 2: Episode 3 Review - Choosing Sides,Great,8
PC,World War Z Review - Zombie Zeitgeist,Fair,6
XONE,Giga Wrecker Alt Review - Hunk Of Junk,Poor,4
PS4,Yakuza Kiwami 2 Review - Like A Tiger,Great,8
PS4,"Days Gone Review - Farewell, Oregon",Mediocre,5
NS,BoxBoy! + BoxGirl! Review - Hip To Be Square,Good,7
NS,SteamWorld Quest Review - Letting Off Some Steam,Good,7
PC,Katana Zero Review - Slow-Motion For Me,Great,8
"XONE, PC, NS",Cuphead Review - Rise To The Challenge,Great,8
PS4,Falcon Age Review - High Flying,Great,8
PC,Pathway Review - Pulp Friction,Fair,6
"PC, PS4",Heaven's Vault Review - Come Sail Away,Fair,6
"PS4, XONE, NS, PC",My Time At Portia Review - Crop Circles,Fair,6
"PS4, PC, XONE, NS",Hellblade: Senua's Sacrifice Review - The Power Of Empathy,Great,8
PS4,Zanki Zero: Last Beginning Review - Attack Of The Clones,Fair,6
PS4,MLB The Show 19 Review - Bases Loaded,Superb,9
PC,Tropico 6 Review - World Stage,Great,8
"PC, XONE, PS4",The Division 2 Review - National Treasure,Superb,9
PC,The World Next Door Review - Anime Angst,Fair,6
PC,"Operencia: The Stolen Sun Review - A Journey Far, Far Away",Great,8
PS4,Sekiro: Shadows Die Twice Review - Steel Yourself,Superb,9
PC,The Walking Dead: The Final Season Episode 4 Review,Superb,9
NS,Yoshi's Crafted World Review - Imagination,Great,8
PC,Hypnospace Outlaw Review - Weird World Web,Great,8
"PC, NS",Baba is You Review - Game-Changer,Good,7
PC,Ethereal Review - Stay In Your Lane,Good,7
PS4,Left Alive Review - No Will To Survive,Bad,3
PC,Objects In Space Review - Adrift,Great,8
XONE,Devil May Cry 5 Review - From Zero To Nero,Superb,9
PS4,ToeJam & Earl: Back In The Groove Review - The Funk-Soul Brothers,Mediocre,5
NS,Assault Android Cactus+ Review - Robots Rock,Superb,9
"PC, NS",Ape Out Review - Guerrilla Gorilla,Good,7
3DS,Kirby's Extra Epic Yarn Review - All Stitched Up,Superb,9
PS4,Dead Or Alive 6 Review - Combat Ready,Good,7
"PC, XONE, PS4",The Occupation Review - On The Clock,Great,8
"XONE, PC, PS4",Far Cry: New Dawn Review - Duct Tape Apocalypse,Fair,6
PC,Civilization 6: Gathering Storm Review - Weather The Storm,Superb,9
PC,Eastshade Review - A Brush With Nature,Superb,9
PS4,Trials Rising Review - It's A Gas,Good,7
PC,Devotion Review - House Of Horrors,Superb,9
"PC, XONE, PS4",Anthem Review - Two Halves,Fair,6
NS,Tetris 99 Review - Embrace The Chaos,Great,8
XONE,Crackdown 3 Review - Man Of Steel,Mediocre,5
"PC, XONE, PS4",Jump Force Review - Shonen Through And Through,Good,7
3DS,Yo-kai Watch 3 Review - Tokyo To Texas,Fair,6
"PS4, PC",Yakuza Kiwami Review - Back In Action,Great,8
"PS4, PC",God Eater 3 Review - Aragami Hunter,Fair,6
PC,Astroneer Review - New Frontiers,Fair,6
NS,Dragon Marked for Death Review - Dates With Death,Good,7
PC,Sunless Skies Review - British Steam Power,Great,8
NS,Wargroove Review - The Doggos Of War,Great,8
3DS,Etrian Odyssey Nexus Review - Where All Paths Cross,Great,8
PC,Jon Shafer's At The Gates Review - Fertile Soil,Good,7
"PS4, PC",The Hong Kong Massacre Review - I Know Gun-Fu,Good,7
"PC, PS4, NS",Downwell Review - Polished Boots,Great,8
PC,Mage's Initiation: Reign Of The Elements Review - VGA Heyday,Fair,6
"XONE, PS4","Kingdom Hearts 3 Review - Clear Eyes, Full Hearts",Great,8
"PC, NS",Pikuniku Review - Delicious Morsel,Great,8
XONE,Genesis Alpha One Review - Drifting Without Direction,Poor,4
"XONE, PC, PS4",Resident Evil 2 Review - RE-vived Nightmares,Superb,9
"PS4, XONE, PC",Life Is Strange 2: Episode 2 Review - With Great Power,Great,8
3DS,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review,Great,8
PS4,The Walking Dead: The Final Season Episode 3 Review,Great,8
PS4,YIIK: A Postmodern RPG Review - A Bit More Hipster,Mediocre,5
NS,Double Cross Review - Combat Woes,Fair,6
PS4,Vane Review - In Vain,Mediocre,5
PC,The Eternal Castle Remastered Review - Vivid Flashbacks,Great,8
NS,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!",Good,7
"XONE, PC",Below Review - Deep Down,Fair,6
NS,"Bury Me, My Love Review - Trials And Tribulations",Great,8
NS,Battle Princess Madelyn Review - Halfway There,Fair,6
NS,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know,Superb,9
PC,Gris Review - Seeing In Color,Superb,9
"PC, XONE, PS4, NS",Monster Boy And The Cursed Kingdom Review - Fit For A King,Great,8
"PC, PS4",Thronebreaker: The Witcher Tales Review - Queen Of Hearts,Superb,9
"PC, PS4, XONE, NS",Desert Child Review - Burning Fuel,Mediocre,5
PS4,Earth Defense Force 5 Review - Another Bug Hunt,Great,8
"XONE, PC",Ashen Review - Relationship Souls,Superb,9
PC,Artifact Review - Play Your Cards Right,Great,8
PC,Just Cause 4 Review - Mildly Wild Ride,Fair,6
PS4,Big Bash Boom Review: Stiff Wickets,Mediocre,5
PC,Cosmic Top Secret Review - Declassified,Good,7
PS4,Darksiders 3 Review - Soils-Like,Poor,4
PS4,Persona 5: Dancing In Starlight Review - The Shujin Shuffle,Great,8
PS4,Persona 3: Dancing In Moonlight Review - A Spotlight In The Dark Hour,Superb,9
PS4,Beat Saber Review - Bass-Boosted,Great,8
"PC, PS4, NS",Nidhogg 2 Review - En Garde,Good,7
"PS4, PC, XONE",Hitman 2 Review - A Boy And His Briefcase,Great,8
"PC, PS4, XONE",Fallout 76 Review - No Humans Allowed,Poor,4
PC,Underworld Ascendant Review: Going Under,Terrible,2
NS,Taiko no Tatsujin: Drum 'n' Fun / Drum Session Review - Rhythm Party,Good,7
PC,Battlefield 5 Review - Breaking Through The Front Lines,Great,8
"NS, NS",Pokemon Let's Go Pikachu And Let's Go Eevee Review,Great,8
PC,Overkill's The Walking Dead Review - DOA,Bad,3
PS4,Spyro Reignited Trilogy Review - Fan The Flames,Great,8
"PS4, XONE, PC",11-11: Memories Retold Review - Modernist Warfare,Good,7
"XONE, NS",Full Metal Furies Review - Puzzle-Brawler,Great,8
"PC, PS4, XONE, NS",Sinner: Sacrifice for Redemption Review - Trials and Tribulations,Fair,6
PS4,The Quiet Man Review - Silence Is Not Golden,Terrible,2
PC,Cities: Skylines - Industries Review - The Up And Up,Good,7
NS,SNK 40th Anniversary Collection Review - It Belongs In A Museum,Great,8
PS4,Deracine Review - Elementary,Mediocre,5
PC,Football Manager 2019 Review - A Winning Strategy,Great,8
"PC, PS4, XONE",Call Of Cthulhu Review - Squid Logic,Mediocre,5
NS,Diablo 3: Eternal Collection Switch Review - Better With Age,Superb,9
PC,Gwent Review - Heart Of The Cards,Great,8
NS,Black Bird Review - Featherweight,Mediocre,5
"PC, PS4, NS",Transistor Review,Great,8
"PS4, XONE",My Hero One's Justice Review - In Their Own Quirky Ways,Fair,6
PS4,WWE 2K19 Review: A Step In The Right Direction,Good,7
"PC, MAC",Return Of The Obra Dinn Review: The Good Ship,Superb,9
XONE,NBA 2K Playgrounds 2 Review - Ball Another Day,Mediocre,5
PS4,"Call Of Duty: Black Ops 4 Review - Zombies, Blackout, Multiplayer",Great,8
"AND, IOS",Reigns: Game Of Thrones Review: A Westerosi Romp,Great,8
"PC, XONE, PS4",SoulCalibur 6 Review - The New Legend,Great,8
PS4,Lego DC Super-Villains Review: Mediocre Mischief-Makers,Mediocre,5
"NS, NS",Dark Souls Remastered Switch Review: A Very Special Revisit,Great,8
"NS, XONE, PS4",Starlink: Battle for Atlas Review - Endless Space,Good,7
"PC, NS",Armello Review - Nintendo Switch Update,Great,8
3DS,Luigi's Mansion Review - Old Haunts,Good,7
"PS4, XONE, PC, NS",The Missing Review - Lost And Found,Great,8
"XONE, PS3, NS",Child of Light Review,Great,8
"PC, PS4, NS",Chasm Review: The Battle Below,Great,8
NS,Super Mario Party Review - Test Those Friendships,Good,7
PC,"World of Warcraft: Battle For Azeroth - Come One, Come All",Good,7
"PC, PS4, XONE",My Memory of Us Review - War Has Changed,Mediocre,5
NS,FIFA 19 Nintendo Switch Review - Offside,Mediocre,5
PC,Pathfinder: Kingmaker Review - The Classics,Fair,6
"PS4, XONE, PC",Assassin's Creed Odyssey Review - Glory Of Sparta,Great,8
"XONE, PS4",FIFA 19 Review - Golazo,Good,7
"PC, XONE","Forza Horizon 4 Review - Shifting Gears, Shifting Seasons",Superb,9
"PS4, PC, XONE",Destiny 2: Forsaken Review - A Grindhouse,Great,8
"PC, NS",Cities: Skylines Review - In The Zone,Great,8
"NS, XONE, PS4",Mega Man 11 Review - An Uneven Retro Romp,Good,7
NS,Freedom Planet Review -- Speedy Ambitions,Good,7
PS4,Fist Of The North Star: Lost Paradise Review - Be The Tough Boy,Great,8
PC,The Bard's Tale IV: Barrows Deep Review - Lament,Poor,4
NS,Final Fantasy XV: Pocket Edition HD Review - Nintendo Switch,Good,7
"XONE, PS4, NS",Dragon Ball FighterZ Review: The Fast And The Furious,Superb,9
PS4,PES 2019 Review,Superb,9
PS4,Telltale's The Walking Dead: The Final Season Episode 2 Review,Great,8
"PC, PS4, XONE",Life Is Strange 2: Episode 1 Review - What Doesn't Kill Us,Superb,9
PS4,Transference Review - In Another World,Good,7
PC,Star Control: Origins Review - Space Oddity,Fair,6
"PC, NS",Broken Sword 5: The Serpent's Curse Review,Great,8
NS,The Gardens Between Review - Dance Among The Stars,Great,8
"XONE, PS4",NHL 19 Review - A Barnburner,Great,8
NS,Wasteland 2: Director's Cut Nintendo Switch Review,Great,8
PS4,Zone Of The Enders: The 2nd Runner - MARS Review,Mediocre,5
"PC, MAC, PS4, NS",Undertale Review - Nintendo Switch Update,Superb,9
NS,Nintendo Labo Vehicle Kit Review: The Most Fun Labo Yet,Good,7
PC,Lamplight City Review - Cold Case,Fair,6
PC,Frozen Synapse 2 Review - Cool-Headed,Great,8
PS4,428: Shibuya Scramble Review - When Fates Collide,Great,8
PS4,"NBA 2K19 Review - Another Year, Another Baller",Good,7
"PS4, XONE, PC, NS",Valkyria Chronicles 4 Review - Soar High,Great,8
"PS4, PC, XONE",Shadow Of The Tomb Raider Review - Guerilla Girl,Fair,6
"PS4, XONE",NBA Live 19 Review - Dribbling Forward,Good,7
PC,Two Point Hospital Review - Laughter Is The Best Medicine,Great,8
